address,borocode
COLUMBIA STREET,3
COLES STREET,3
1 LIBERTY ISLAND,1
1 ELLIS ISLAND,1
BOBBY BELLO FIELD,3
7731 SHORE ROAD,3
7739 SHORE ROAD,3
7727 SHORE ROAD,3
7 79 STREET,3
7725 SHORE ROAD,3
9 79 STREET,3
11 79 STREET,3
1 78 STREET,3
13 79 STREET,3
7717 SHORE ROAD,3
2 78 STREET,3
7713 SHORE ROAD,3
3 78 STREET,3
7709 SHORE ROAD,3
4 78 STREET,3
7705 SHORE ROAD,3
7701 SHORE ROAD,3
5 78 STREET,3
6 78 STREET,3
7 78 STREET,3
7551 SHORE ROAD,3
14 77 STREET,3
10 77 STREET,3
9 78 STREET,3
7543 SHORE ROAD,3
7223 SHORE ROAD,3
7221 SHORE ROAD,3
7217 SHORE ROAD,3
7215 SHORE ROAD,3
16 77 STREET,3
7539 SHORE ROAD,3
7229 SHORE ROAD,3
7211 SHORE ROAD,3
11 78 STREET,3
7209 SHORE ROAD,3
7207 SHORE ROAD,3
7535 SHORE ROAD,3
7205 SHORE ROAD,3
18 77 STREET,3
7529 SHORE ROAD,3
7235 SHORE ROAD,3
7720 NARROWS AVENUE,3
7203 SHORE ROAD,3
15 77 STREET,3
7237 SHORE ROAD,3
7201 SHORE ROAD,3
20 77 STREET,3
7525 SHORE ROAD,3
7726 NARROWS AVENUE,3
7239 SHORE ROAD,3
7509 SHORE ROAD,3
7241 SHORE ROAD,3
7224 72 COURT,3
7724 NARROWS AVENUE,3
22 77 STREET,3
COLONIAL ROAD,3
7220 72 COURT,3
7243 SHORE ROAD,3
7218 72 COURT,3
7716 NARROWS AVENUE,3
7214 72 COURT,3
7245 SHORE ROAD,3
358 74 STREET,3
7712 NARROWS AVENUE,3
7247 SHORE ROAD,3
7710 NARROWS AVENUE,3
7212 72 COURT,3
7210 72 COURT,3
339 73 STREET,3
7706 NARROWS AVENUE,3
7249 SHORE ROAD,3
7119 SHORE ROAD,3
7208 72 COURT,3
7702 NARROWS AVENUE,3
7259 SHORE ROAD,3
7204 72 COURT,3
7202 72 COURT,3
23 77 STREET,3
7503 SHORE ROAD,3
7226 72 COURT,3
7612 NARROWS AVENUE,3
27 77 STREET,3
7101 SHORE ROAD,3
,3
7610 NARROWS AVENUE,3
1 BAY RIDGE PARKWAY,3
7225 72 COURT,3
7606 NARROWS AVENUE,3
7530 NARROWS AVENUE,3
7626 NARROWS AVENUE,3
7401 SHORE ROAD,3
1 74 STREET,3
7602 NARROWS AVENUE,3
7526 NARROWS AVENUE,3
7223 72 COURT,3
7522 NARROWS AVENUE,3
7221 72 COURT,3
7215 72 COURT,3
7217 72 COURT,3
7211 72 COURT,3
7518 NARROWS AVENUE,3
9 BAY RIDGE PARKWAY,3
7209 72 COURT,3
7207 72 COURT,3
7205 72 COURT,3
7717 NARROWS AVENUE,3
7514 NARROWS AVENUE,3
7203 72 COURT,3
7715 NARROWS AVENUE,3
7201 72 COURT,3
16 BAY RIDGE PARKWAY,3
34 77 STREET,3
21 72 STREET,3
7100 SHORE ROAD,3
20 BAY RIDGE PARKWAY,3
15 BAY RIDGE PARKWAY,3
38 77 STREET,3
25 72 STREET,3
33 77 STREET,3
32 72 STREET,3
40 77 STREET,3
12 71 STREET,3
43 78 STREET,3
24 BAY RIDGE PARKWAY,3
7617 NARROWS AVENUE,3
21 BAY RIDGE PARKWAY,3
7414 NARROWS AVENUE,3
27 72 STREET,3
350 72 STREET,3
7412 NARROWS AVENUE,3
7422 NARROWS AVENUE,3
36 72 STREET,3
7611 NARROWS AVENUE,3
7410 NARROWS AVENUE,3
14 71 STREET,3
42 77 STREET,3
6413 2 AVENUE,3
29 72 STREET,3
7406 NARROWS AVENUE,3
45 78 STREET,3
7605 NARROWS AVENUE,3
7402 NARROWS AVENUE,3
16 71 STREET,3
7601 NARROWS AVENUE,3
31 72 STREET,3
44 77 STREET,3
40 72 STREET,3
47 78 STREET,3
18 71 STREET,3
19 74 STREET,3
33 72 STREET,3
46 77 STREET,3
43 77 STREET,3
6917 SHORE ROAD,3
6911 SHORE ROAD,3
7523 NARROWS AVENUE,3
20 71 STREET,3
42 72 STREET,3
48 77 STREET,3
7519 NARROWS AVENUE,3
7310 NARROWS AVENUE,3
35 72 STREET,3
7005 SHORE ROAD,3
7001 SHORE ROAD,3
6925 SHORE ROAD,3
6901 SHORE ROAD,3
7312 NARROWS AVENUE,3
7025 SHORE ROAD,3
7023 SHORE ROAD,3
7515 NARROWS AVENUE,3
23 74 STREET,3
7306 NARROWS AVENUE,3
72 STREET,3
22 71 STREET,3
40 76 STREET,3
7302 NARROWS AVENUE,3
37 72 STREET,3
7511 NARROWS AVENUE,3
50 77 STREET,3
45 77 STREET,3
7230 NARROWS AVENUE,3
44 72 STREET,3
26 BAY RIDGE PARKWAY,3
24 71 STREET,3
6833 SHORE ROAD,3
7226 NARROWS AVENUE,3
52 77 STREET,3
42 76 STREET,3
39 72 STREET,3
27 74 STREET,3
46 72 STREET,3
7222 NARROWS AVENUE,3
26 71 STREET,3
47 77 STREET,3
28 BAY RIDGE PARKWAY,3
41 72 STREET,3
6801 SHORE ROAD,3
46A 72 STREET,3
6 BAY RIDGE AVENUE,3
54 77 STREET,3
46 76 STREET,3
NARROWS AVENUE,3
7218 NARROWS AVENUE,3
43 72 STREET,3
28 71 STREET,3
48 72 STREET,3
7216 NARROWS AVENUE,3
7423 NARROWS AVENUE,3
30 BAY RIDGE PARKWAY,3
7214 NARROWS AVENUE,3
30 71 STREET,3
11 MACKAY PLACE,3
10 BAY RIDGE AVENUE,3
51 77 STREET,3
7417 NARROWS AVENUE,3
48 76 STREET,3
7212 NARROWS AVENUE,3
58 77 STREET,3
41 76 STREET,3
7415 NARROWS AVENUE,3
7210 NARROWS AVENUE,3
45 72 STREET,3
7413 NARROWS AVENUE,3
7208 NARROWS AVENUE,3
6902 NARROWS AVENUE,3
32 BAY RIDGE PARKWAY,3
30 74 STREET,3
7206 NARROWS AVENUE,3
32 71 STREET,3
43 76 STREET,3
53 77 STREET,3
7202 NARROWS AVENUE,3
60 77 STREET,3
50 76 STREET,3
47 72 STREET,3
15 MACKAY PLACE,3
11 70 STREET,3
36 BAY RIDGE PARKWAY,3
34 74 STREET,3
34 71 STREET,3
57 77 STREET,3
45 76 STREET,3
7124 NARROWS AVENUE,3
52 76 STREET,3
64 77 STREET,3
7122 NARROWS AVENUE,3
13 70 STREET,3
36 71 STREET,3
38 BAY RIDGE PARKWAY,3
7118 NARROWS AVENUE,3
36 74 STREET,3
7325 NARROWS AVENUE,3
7116 NARROWS AVENUE,3
22 70 STREET,3
COLONIAL ROAD,3
13 BAY RIDGE AVENUE,3
47 76 STREET,3
59 77 STREET,3
7114 NARROWS AVENUE,3
56 76 STREET,3
15 70 STREET,3
7319 NARROWS AVENUE,3
7112 NARROWS AVENUE,3
66 77 STREET,3
42 BAY RIDGE PARKWAY,3
7110 NARROWS AVENUE,3
24 70 STREET,3
35 BAY RIDGE PARKWAY,3
7315 NARROWS AVENUE,3
51 76 STREET,3
63 77 STREET,3
7106 NARROWS AVENUE,3
38 74 STREET,3
17 70 STREET,3
58 73 STREET,3
7104 NARROWS AVENUE,3
58 76 STREET,3
7102 NARROWS AVENUE,3
26 70 STREET,3
68 77 STREET,3
44 BAY RIDGE PARKWAY,3
37 BAY RIDGE PARKWAY,3
19 70 STREET,3
53 76 STREET,3
65 77 STREET,3
42 74 STREET,3
60 73 STREET,3
28 70 STREET,3
60 76 STREET,3
46 BAY RIDGE PARKWAY,3
39 BAY RIDGE PARKWAY,3
21 70 STREET,3
30 70 STREET,3
70 77 STREET,3
55 76 STREET,3
62 73 STREET,3
64 76 STREET,3
57 73 STREET,3
6824 OWLS HEAD COURT,3
41 BAY RIDGE PARKWAY,3
48 BAY RIDGE PARKWAY,3
44 74 STREET,3
6820 OWLS HEAD COURT,3
67 77 STREET,3
25 MACKAY PLACE,3
6818 OWLS HEAD COURT,3
72 77 STREET,3
32 70 STREET,3
25 70 STREET,3
57 76 STREET,3
39 74 STREET,3
64 73 STREET,3
59 73 STREET,3
50 BAY RIDGE PARKWAY,3
43 BAY RIDGE PARKWAY,3
6816 OWLS HEAD COURT,3
66 76 STREET,3
7211 NARROWS AVENUE,3
6814 OWLS HEAD COURT,3
48 74 STREET,3
27 MACKAY PLACE,3
7209 NARROWS AVENUE,3
27 70 STREET,3
34 70 STREET,3
6812 OWLS HEAD COURT,3
45 BAY RIDGE PARKWAY,3
66 73 STREET,3
61 73 STREET,3
7207 NARROWS AVENUE,3
74 77 STREET,3
61 76 STREET,3
52 BAY RIDGE PARKWAY,3
69 77 STREET,3
7205 NARROWS AVENUE,3
6810 OWLS HEAD COURT,3
68 76 STREET,3
7201 NARROWS AVENUE,3
29 MACKAY PLACE,3
36 70 STREET,3
29 70 STREET,3
6806 OWLS HEAD COURT,3
43 74 STREET,3
65 73 STREET,3
63 73 STREET,3
70 73 STREET,3
6804 OWLS HEAD COURT,3
78 77 STREET,3
63 76 STREET,3
